ZipCode,Pop15Plus,FTAFTPS100,WhiteNH,Black,Hisp,Asian,Other,povrate,Pov,PovPop,FTA100,FTP100,DUIFTAS100,IncK
92145,1150,1.56521737575531,50.1739130434783,3.65217391304348,1.56521739130435,40.5217391304348,4.08695650100708,2.14477205276489,24,1119,2,1.2173912525177,0,226.875
91604,24651,1.56585943698883,77.1449434100036,4.61238894973835,9.15175854934891,6.69344042838019,2.39746856689453,7.57651376724243,1822,24048,2.34067583084106,0.425946205854416,0.0567928291857243,88.5790023803711
95922,574,1.56794428825378,87.979094076655,0.522648083623693,5.05226480836237,1.74216027874564,4.70383262634277,24.2049465179443,137,566,3.13588857650757,1.74216032028198,0,24.7000007629395
96028,1274,1.56985867023468,82.3390894819466,0.627943485086342,13.8932496075353,0.784929356357928,2.35478806495667,9.85342025756836,121,1228,1.96232342720032,1.17739403247833,0.0784929394721985,39.2120018005371
91316,23923,1.57170927524567,75.2246791790327,3.87075199598713,10.94344354805,6.4414998118965,3.51962542533875,14.0219373703003,3311,23613,2.40772485733032,0.677172601222992,0.0376207008957863,59.1990013122559
94547,20022,1.57326936721802,19.2638098092099,18.7244031565278,13.9946059334732,43.5720707222056,4.44511032104492,6.07383060455322,1183,19477,1.39346718788147,4.07052230834961,0.00998901203274727,97.2689971923828
95460,2160,1.57407402992249,84.4444444444444,0,5.64814814814815,5.78703703703704,4.12037038803101,8.37671566009521,177,2113,1.52777779102325,1.20370376110077,0.0462962947785854,51.693000793457
95736,254,1.57480311393738,46.4566929133858,4.33070866141732,7.08661417322835,39.7637795275591,2.36220479011536,6.41025638580322,10,156,3.93700790405273,0.393700778484344,0,43.375
95831,35296,1.57524931430817,41.1378059836809,12.6501586582049,13.5766092475068,28.5244786944696,4.11094760894775,6.96987247467041,2406,34520,1.73674070835114,2.08805537223816,0.0453309156000614,68.4609985351562
91344,43567,1.579176902771,48.3668831914063,4.05352675189937,28.1566323134483,16.6341497004614,2.7888081073761,7.84055948257446,3340,42599,2.34581208229065,0.702366471290588,0.0436109900474548,77.6039962768555
90292,19562,1.57959306240082,72.9679991820877,5.49023617217053,9.24240875166138,8.73121357734383,3.56814241409302,9.65856647491455,1884,19506,2.51508021354675,0.470299571752548,0.0306717082858086,100.44100189209
